Date,uWUEa,T (mm/d),ET (mm/d)
1996/1/1,186.9091494,0.033533571,0.317901242
1996/1/2,111.157542,0.02379937,0.379375692
1996/1/3,305.1152476,0.087383798,0.507469541
1996/1/4,211.5351745,0.037973332,0.318081999
1996/1/5,112.6987934,0.024174289,0.380082099
1996/1/6,306.8500211,0.087982897,0.508060085
1996/1/7,225.9494779,0.040729832,0.319406873
1996/1/8,143.0018865,0.031417238,0.389286387
1996/1/9,637.9342287,0.184387287,0.512151023
1996/1/10,415.5557876,0.075017928,0.319873827
1996/1/11,356.9697232,0.077890422,0.38663009
1996/1/12,1005.453703,0.292173491,0.514898597
1996/1/13,562.989511,0.10193429,0.320821138
1996/1/14,309.5150097,0.067436209,0.386059647
1996/1/15,685.2824623,0.197707437,0.511206496
1996/1/16,353.730338,0.063784284,0.319509924
1996/1/17,191.1683027,0.04163347,0.385895491
1996/1/18,303.741599,0.087090203,0.508051812
1996/1/19,212.7672783,0.038191348,0.31805566
1996/1/20,114.3387516,0.024525322,0.380070579
1996/1/21,368.7807109,0.105799101,0.508342894
1996/1/22,187.422421,0.033552885,0.317213234
1996/1/23,120.0818437,0.025766511,0.380207991
1996/1/24,313.5884672,0.089819664,0.507521353
1996/1/25,199.7082262,0.035542008,0.315347201
1996/1/26,105.7417318,0.022561911,0.378070194
1996/1/27,304.2370825,0.086815409,0.505623956
1996/1/28,206.02261,0.036840194,0.316847296
1996/1/29,117.3824901,0.025186295,0.380192847
1996/1/30,344.1152121,0.09867059,0.508073833
1996/1/31,225.5200577,0.040483545,0.318079981
1996/2/1,122.0841013,0.026289994,0.381570116
1996/2/2,318.6300622,0.091576306,0.509259743
1996/2/3,219.8364341,0.039529675,0.318615242
1996/2/4,117.5595012,0.025213559,0.380031329
1996/2/5,301.5087317,0.086440905,0.507998451
1996/2/6,214.9293757,0.03849888,0.317391501
1996/2/7,108.5023617,0.023200454,0.378878763
1996/2/8,317.4634076,0.090687412,0.506169894
1996/2/9,219.610455,0.039304064,0.31712277
1996/2/10,116.616139,0.02499927,0.379849574
1996/2/11,521.5863192,0.150556138,0.51146421
1996/2/12,481.1389995,0.0868882,0.31998765
1996/2/13,198.1912194,0.043105434,0.385381255
1996/2/14,310.9937732,0.089339796,0.509021633
1996/2/15,212.3300507,0.03816713,0.318508492
1996/2/16,120.4166668,0.026183043,0.385280028
1996/2/17,410.4079013,0.118486698,0.511560332
1996/2/18,369.3179227,0.066690081,0.319966005
