date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2002185,2002-07-04,MCD15A3H,Fpar_500m,0.3600,0.6300,3.9900,0.2700,0.4433,0.0096,0.0978,25,9,36.00
A2002189,2002-07-08,MCD15A3H,Fpar_500m,0.4100,0.9600,13.4300,0.5500,0.7068,0.0218,0.1475,25,19,76.00
A2002193,2002-07-12,MCD15A3H,Fpar_500m,0.7700,0.9600,21.4700,0.1900,0.8946,0.0036,0.0599,25,24,96.00
A2002197,2002-07-16,MCD15A3H,Fpar_500m,0.2800,0.9700,21.3500,0.6900,0.8540,0.0339,0.1842,25,25,100.00
A2002201,2002-07-20,MCD15A3H,Fpar_500m,0.5800,0.8800,1.4600,0.3000,0.7300,0.0225,0.1500,25,2,8.00
A2002205,2002-07-24,MCD15A3H,Fpar_500m,0.2900,0.9600,14.4000,0.6700,0.6857,0.0455,0.2134,25,21,84.00
A2002209,2002-07-28,MCD15A3H,Fpar_500m,0.6300,0.9600,20.9200,0.3300,0.8717,0.0057,0.0758,25,24,96.00
A2002217,2002-08-05,MCD15A3H,Fpar_500m,0.5400,0.8800,18.4200,0.3400,0.7368,0.0073,0.0852,25,25,100.00
A2002221,2002-08-09,MCD15A3H,Fpar_500m,0.6600,0.9400,21.8700,0.2800,0.8748,0.0051,0.0717,25,25,100.00
A2002225,2002-08-13,MCD15A3H,Fpar_500m,0.6400,0.9600,20.9300,0.3200,0.8372,0.0060,0.0775,25,25,100.00
A2002229,2002-08-17,MCD15A3H,Fpar_500m,0.5800,0.9500,21.3400,0.3700,0.8536,0.0087,0.0933,25,25,100.00
A2002233,2002-08-21,MCD15A3H,Fpar_500m,0.6300,0.9600,20.8900,0.3300,0.8356,0.0054,0.0736,25,25,100.00
A2002237,2002-08-25,MCD15A3H,Fpar_500m,0.6400,0.9100,20.6900,0.2700,0.8276,0.0033,0.0577,25,25,100.00
A2002241,2002-08-29,MCD15A3H,Fpar_500m,0.5200,0.8000,18.0600,0.2800,0.7224,0.0037,0.0611,25,25,100.00
A2002245,2002-09-02,MCD15A3H,Fpar_500m,0.6300,0.9100,20.8300,0.2800,0.8332,0.0035,0.0591,25,25,100.00
A2002249,2002-09-06,MCD15A3H,Fpar_500m,0.6000,0.8700,20.7800,0.2700,0.8312,0.0039,0.0623,25,25,100.00
A2002253,2002-09-10,MCD15A3H,Fpar_500m,0.6400,0.8900,20.6600,0.2500,0.8264,0.0037,0.0607,25,25,100.00
A2002257,2002-09-14,MCD15A3H,Fpar_500m,0.5800,0.8400,18.3900,0.2600,0.7356,0.0053,0.0730,25,25,100.00
A2002261,2002-09-18,MCD15A3H,Fpar_500m,0.6000,0.9200,18.9700,0.3200,0.7588,0.0071,0.0840,25,25,100.00
A2002265,2002-09-22,MCD15A3H,Fpar_500m,0.5900,0.8700,19.7500,0.2800,0.7900,0.0054,0.0734,25,25,100.00
A2002269,2002-09-26,MCD15A3H,Fpar_500m,0.1800,0.7700,15.2100,0.5900,0.6338,0.0239,0.1545,25,24,96.00
A2002273,2002-09-30,MCD15A3H,Fpar_500m,0.1700,0.3700,1.8900,0.2000,0.3150,0.0065,0.0804,25,6,24.00
