date[YYYYDDD],date,product,band,min,max,sum,range,mean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2002185,2002-07-04,MCD15A3H,Fpar_500m,0.6300,0.8700,9.1500,0.2400,0.7625,0.0050,0.0710,25,12,48.00
A2002189,2002-07-08,MCD15A3H,Fpar_500m,0.5500,0.9500,13.1700,0.4000,0.7747,0.0100,0.0999,25,17,68.00
A2002193,2002-07-12,MCD15A3H,Fpar_500m,0.7600,0.9200,15.6900,0.1600,0.8258,0.0030,0.0546,25,19,76.00
A2002197,2002-07-16,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002201,2002-07-20,MCD15A3H,Fpar_500m,0.6200,0.8500,5.1400,0.2300,0.7343,0.0049,0.0703,25,7,28.00
A2002205,2002-07-24,MCD15A3H,Fpar_500m,0.4000,0.9300,15.9200,0.5300,0.7236,0.0171,0.1306,25,22,88.00
A2002209,2002-07-28,MCD15A3H,Fpar_500m,0.6600,0.9400,17.5100,0.2800,0.7959,0.0031,0.0560,25,22,88.00
A2002217,2002-08-05,MCD15A3H,Fpar_500m,0.2500,0.9200,10.0700,0.6700,0.5594,0.0367,0.1915,25,18,72.00
A2002221,2002-08-09,MCD15A3H,Fpar_500m,0.3900,0.7200,4.9300,0.3300,0.5478,0.0092,0.0960,25,9,36.00
A2002225,2002-08-13,MCD15A3H,Fpar_500m,0.7800,0.9600,20.2800,0.1800,0.8450,0.0035,0.0589,25,24,96.00
A2002229,2002-08-17,MCD15A3H,Fpar_500m,0.4100,0.9300,18.3700,0.5200,0.7987,0.0111,0.1054,25,23,92.00
A2002233,2002-08-21,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002237,2002-08-25,MCD15A3H,Fpar_500m,0.2800,0.9500,7.5200,0.6700,0.5785,0.0383,0.1957,25,13,52.00
A2002241,2002-08-29,MCD15A3H,Fpar_500m,0.8300,0.9100,14.7400,0.0800,0.8671,0.0006,0.0237,25,17,68.00
A2002245,2002-09-02,MCD15A3H,Fpar_500m,0.7900,0.9400,21.5900,0.1500,0.8636,0.0026,0.0514,25,25,100.00
A2002249,2002-09-06,MCD15A3H,Fpar_500m,0.4500,0.9400,10.3300,0.4900,0.5165,0.0147,0.1210,25,20,80.00
A2002253,2002-09-10,MCD15A3H,Fpar_500m,0.5500,0.9200,20.4600,0.3700,0.8184,0.0055,0.0738,25,25,100.00
A2002257,2002-09-14,MCD15A3H,Fpar_500m,0.5800,0.9500,16.2400,0.3700,0.7733,0.0098,0.0992,25,21,84.00
A2002261,2002-09-18,MCD15A3H,Fpar_500m,0.4300,0.7700,6.3900,0.3400,0.5809,0.0151,0.1227,25,11,44.00
A2002265,2002-09-22,MCD15A3H,Fpar_500m,0.7600,0.9500,21.0700,0.1900,0.8428,0.0029,0.0537,25,25,100.00
A2002269,2002-09-26,MCD15A3H,Fpar_500m,0.2700,0.8600,9.8400,0.5900,0.5467,0.0133,0.1153,25,18,72.00
A2002273,2002-09-30,MCD15A3H,Fpar_500m,0.7500,0.9400,20.3200,0.1900,0.8128,0.0043,0.0658,25,25,100.00
A2002277,2002-10-04,MCD15A3H,Fpar_500m,0.2700,0.8100,15.5300,0.5400,0.6471,0.0285,0.1689,25,24,96.00
A2002281,2002-10-08,MCD15A3H,Fpar_500m,0.7600,0.9600,20.9500,0.2000,0.8380,0.0024,0.0494,25,25,100.00
A2002285,2002-10-12,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002289,2002-10-16,MCD15A3H,Fpar_500m,0.2500,0.4200,5.8000,0.1700,0.3222,0.0018,0.0421,25,18,72.00
A2002293,2002-10-20,MCD15A3H,Fpar_500m,0.5300,0.7900,12.7400,0.2600,0.6705,0.0039,0.0624,25,19,76.00
A2002297,2002-10-24,MCD15A3H,Fpar_500m,0.6500,0.8400,19.9200,0.1900,0.7968,0.0015,0.0390,25,25,100.00
A2002301,2002-10-28,MCD15A3H,Fpar_500m,0.6700,0.8800,20.3600,0.2100,0.8144,0.0014,0.0375,25,25,100.00
A2002305,2002-11-01,MCD15A3H,Fpar_500m,0.5300,0.8100,18.5900,0.2800,0.7436,0.0032,0.0564,25,25,100.00
A2002309,2002-11-05,MCD15A3H,Fpar_500m,0.4700,0.6800,13.0200,0.2100,0.5425,0.0016,0.0402,25,24,96.00
A2002313,2002-11-09,MCD15A3H,Fpar_500m,0.4900,0.7600,16.0800,0.2700,0.6991,0.0036,0.0604,25,23,92.00
A2002317,2002-11-13,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002321,2002-11-17,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002325,2002-11-21,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002329,2002-11-25,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002333,2002-11-29,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002337,2002-12-03,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002341,2002-12-07,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002345,2002-12-11,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002349,2002-12-15,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002353,2002-12-19,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
A2002357,2002-12-23,MCD15A3H,Fpar_500m,,,,,,,,25,0,0.00
