Date,SFD_daily_mean_M1,SFD_daily_mean_M2
21/03/2010,0.007525495,0.005883496
22/03/2010,0.003769269,0.002946847
23/03/2010,0.004267343,0.003336245
24/03/2010,0.027654285,0.021620357
25/03/2010,0.018879395,0.014760073
26/03/2010,0.016091206,0.012580243
27/03/2010,0.001652244,0.001291738
28/03/2010,0.00256712,0.002006996
29/03/2010,0.010943035,0.008555359
30/03/2010,0.017946736,0.014030912
31/03/2010,0.000820146,0.000641197
01/04/2010,NA,NA
02/04/2010,0.028854563,0.031618338
03/04/2010,0.069441304,0.076092597
04/04/2010,0.055629996,0.060958401
05/04/2010,0.018737397,0.02053212
06/04/2010,0.050535725,0.055035922
07/04/2010,0.122255385,0.128885351
08/04/2010,0.169817197,0.174521087
09/04/2010,0.278017453,0.287738353
10/04/2010,0.192892397,0.199308619
11/04/2010,0.016846944,0.01644731
12/04/2010,0.057574661,0.056737146
13/04/2010,0.074849194,0.074895426
14/04/2010,0.062849206,0.061364735
15/04/2010,0.062645645,0.064322413
16/04/2010,0.081279736,0.085695563
17/04/2010,0.129097602,0.133801038
18/04/2010,0.008403896,0.008351028
19/04/2010,0.045244147,0.047806368
20/04/2010,0.213039336,0.223253324
21/04/2010,0.214815643,0.222855701
22/04/2010,0.362545084,0.377135822
23/04/2010,0.315080206,0.330702092
24/04/2010,0.431845391,0.45153881
25/04/2010,0.358794045,0.375647204
26/04/2010,0.127195992,0.134667021
27/04/2010,0.203049025,0.212942375
28/04/2010,0.537527016,0.559179879
29/04/2010,0.60492384,0.632014327
30/04/2010,0.495391219,0.518704486
01/05/2010,0.100512623,0.106758301
02/05/2010,0.041985255,0.04420867
03/05/2010,0.069162585,0.072540083
04/05/2010,0.117878054,0.125826109
05/05/2010,0.140932155,0.149626456
06/05/2010,0.141816736,0.148040738
07/05/2010,0.06479383,0.068789244
08/05/2010,0.129456605,0.136034034
09/05/2010,0.356694635,0.372411723
10/05/2010,0.334939099,0.349543763
11/05/2010,0.260475148,0.272565842
12/05/2010,0.035955497,0.038903348
13/05/2010,0.047629587,0.050180046
14/05/2010,0.081350259,0.086118646
